text,language,source_sentiment,suggested_label,final_label
@user @user Wai gwamno nin Nigeria suna afa kwayoyi ko 😂,hau,negative,urgent_complaint,
"@user Mutanan Nigeria 🇳🇬 suna Allah wadai da tafiyar ka kasar waje, ya kamata katsaya asibitin gida adubaka indai Kai mai-kishin chigaban kasane😇",hau,negative,urgent_complaint,
@user Tayi maganin dan banza..... 😂,hau,negative,urgent_complaint,
@user 😭😭😭😭aikin knn Sai kwamushe yayan alummma ake Amma Kuna ta allurar karya wae Corona hmm kuje kufara karbo yaran da aka dauke snn kuzo kuyi mgn Corona,hau,negative,urgent_complaint,
"@user Wllh wannan azzalumi magani guda a harbe shi har lahira domin yazama darasi ga azzalummai irin shi, Ni gaskiya banga alamun yin adalci a gwamnatin Shugaba @user ba wllh, Wannan ta'asa har ina?😭😭😭😭😭😭😭😭😭😭😭😭😭😭",hau,negative,urgent_complaint,
"@user Idan akaci gaba da lafiya ahaka, mafita daya ce ga yan arewa shine su fara ramuwar gayya kawai🙅🙅",hau,negative,urgent_complaint,
"@user Kungiyar likitoci ta Najeriya reshen jihar Kano ta tabbatar wa BBC mutuwar likita daya a jihar, yayin da 34 da sauran ma'aikatan lafiya suka kamu da cutar korona. 👉 https://t.co/H6Ldli9QYq",hau,negative,urgent_complaint,
"@user Gaskiya wannan RISHIN SANIN CIWON KAI NE, yayinda Nigeria ke fuskantar kalu_ balan tsaro ta ko ina, wasu keson a canza mata suna ☹️☹️☹️☹️",hau,negative,urgent_complaint,
"@user Daga nan kasar italiya garin da covid 19 ya kashe mutum million 2, Wannan rashin aikin Yi ne kokuma hauka ne ko Neman magana, Ina ruwanmu da fassaran kukan mage nabi mage da gudu Babu takalma 🏃🏃🏃",hau,negative,urgent_complaint,
"@user Kaji wawa Ana yunwa a duniyar mutame amma yana tunanin zuwa mars.. Salon corona idan tayi tsamari su gudu su barmu, oh ni talaka? 🤔",hau,negative,urgent_complaint,
@user Tasu da ban ta talakawa da ban ina mu ina abun c suganan kasa bare maganin sa ai wutsiyar rakume tai naisa da kasa 🙄🙄🙄🙄,hau,negative,urgent_complaint,
"@user Ba CORONA CE tajefasu a mawuyacin hali ba shuwagabannmu ne suka jefasu a mawuyacin hali, kai duk Al'ummar qasarnan mahukuntanmu ne suka jefamu a mawuyacin hali, sbd buqatar ransu, Allah zai saka Mana😭😭😭😭😭",hau,negative,urgent_complaint,
@user Amma Kuma ai baa zauna lafiyanba yallabai Sir 👌,hau,negative,urgent_complaint,
@user **da ace Nigeria ne kadai keda corona virus da duk manyan kasan nan sunyi waje da iyalansu** *Amma yanzu ba gurin zuwa munanan daku*😎😎😎 *#ana mugun tare*🤝🏻,hau,negative,urgent_complaint,
@user Ku bar shegun yan kasuwan nan marasa imani suma Allah yana sane dasu yadda yayi mana maganin yan siyasar tsallake kasa a bar talaka a wahala ya aiko Corona haka suma zae aiko musu tasu masipar daedae dasu.... Yan bankara babban hancin bura uba kawae 😠,hau,negative,urgent_complaint,
"@user Agaskiya Mu yan Nigeria Ana Matukar Raina mana Hankali... Ai koh kirge ake koya mana da wannan Kare-karen yawan masu CORONA a Nigeria, Ai yaci Ace kowa ya mallaki kwalin degree a lisaafin Na kirge...😣😡",hau,negative,urgent_complaint,
"@user @user Shugaban kasa yfara gaisuwan wireless na dole, shegiya Coronavirus😂",hau,negative,urgent_complaint,
"@user Waya tambeye ku? Giskiya Har yanzu baku waye ba wanan Na iya hadasa rikichi fa! This is not news this is rubbish, tell us who wrote this headlines the person needs to be sacked ✊ @user",hau,negative,urgent_complaint,
"@user Wani abu ya wuce hadama. Idan ma tallafin corona dinne da gaske, nasu ne su kadai da suka kwashe duka?! Idan anyi magana ace mai kudi yana cutan talaka, shi kanshi talakan shi yake zaluntar dan uwansa talaka ai. Duk wanda ya dauki abunda ba nashi bane toh daman ya saba da hakan🙄",hau,negative,urgent_complaint,
@user Yayi gum ne yana tunanim qasashen da zai chilla✈ ba corona virus din bace aranshi🤣🤣,hau,negative,urgent_complaint,
@user 😂😂😂😖LMAO nabi corona da gudu 🏃‍♀️🏃‍♀️🏃‍♀️A gafarce nii,hau,negative,urgent_complaint,
@user Hmmm ana dara ga dare yayi Wahala dey for who wey never no Nigerian politicians🧐🧐🧐,hau,negative,urgent_complaint,
@user Ana zubda jinanan musulmai amma kurasa abinda zaku aiwatar sai dai kuce wai kunyi Allah wadai 😭 To wallahi matukar haka za'a cigaba dayi duniyar musulmi baza ta taba zama lafiya ba.,hau,negative,urgent_complaint,
"@user @user Wlh kama bazaiyi wuyaba, musamman garemu muda bamusan yadda zamuyi ba jarimmu wlh cikin sati 2 zai iya karewa, wallahi tallahi, zat sauki in corona bata Kashemu ai sai yunwa ta karasamu 😢",hau,negative,urgent_complaint,
"@user Wannan gaskiya ne! Sai dai Yan kano a Twitter su dai kam, ka sa musu ciwon corona 😉",hau,negative,urgent_complaint,
"@user Ba doleba irin wannan amincewa da bashi dama ya ciwowa kasa bashi ba kakkautawa,ai ya yaba musu,mudai muna kira ga majalisa da ta dunga tuna halin da kasa ke ciki domin ba musan inda gwamnatin ku ta dosa,ba staro,ba aikinyi,babu abubuwan cigana kullun jiya iyau 😐😐😐",hau,negative,urgent_complaint,
