text,language,label
"Ndi ogbo ogwu idumota Unu Ji igu ewu na ATA With ASSOCIATES like y'all,one hardly needs LUCK",ibo,general_feedback
hbd waga g chukwu gozie gi mmaji more blessings odogwu onye isi nkuka lagos state,ibo,praise
money wey i dey manage uba took a whole they took before abeg you people should comman explain to me why,pcm,urgent_complaint
"@user Innalillahi wa inna ilaihi raji'un 😥. Ya Allah ka kawo mana qarshen wannan annoba, Allah yabashi lafiya 🙏",hau,praise
@user To nidaii kam sai hamdala wlh😂 Da qyar nasha🥂 yafi da qyar aka kamani yau dinnan. Ba sauki ciwon arne kenan,hau,praise
@user Obi n'agu akwukwo n'ala beke Iji buru onye dokita oyibo.,ibo,general_feedback
@user @user Kaji dariyar mugu # COVID19 🤣🤣🤣🤣??,hau,general_feedback
#SickleCellAwareness in #Yoruba EJE Eje ni nkan pupa to n san ni ago ara wa Blood is the red fluid that flows in our body A ni ohun merin ninu eje 1 Padi eje pupa 2 Padi eje funfun 3 Padi eje platelet 4 Omi plasma There are four components of blood../1 #SickleCell #September https://t.co/qOjQQjiDNK,yor,general_feedback
second everywhere don burst wahala for who no love this wonderful blessed and handsome bobo oo love you yasssss i don get new screensaver,pcm,praise
@user Innalillahi wa'ina ilehi rajiun allah jikan su su kuma wanda suka kahesu allah ya hiryesu idan ba masu hiryuwa bane allah kai maganin su😭😭,hau,urgent_complaint
@user Tunda muka bude ido kam muka ganmu a kasar rashin Adalci da son zuciya ai Al-Qunut ta zama wajibi a garemu kuma sai mun sako kalaman tsinuwa acikin Al-Qunutin ga wa’enda suka cucemu kuma suka bari ana cutar damu 😭,hau,urgent_complaint
21st year anniversary of yoruba one voice yov worldwide under the leadership of oba gani ige adams the aare onakakanfo of yoruba land you must watch,yor,praise
"@user Coronavirus ai makami ce. Ana yaqan mu ne da ita mu bakake tare da hadin bakin shuwagabannin mu, mutuwa dai daya ce Kuma bama tsoranta😤",hau,urgent_complaint
odidi ojo maarun gbako bayi ojo mi loju ọkùnrin méjí tí ó lo ìwé ìrìnà ẹniẹlẹ́ni ni afurasí,yor,urgent_complaint
well i see no reason y some girl wont clin thier pussy n they always want who to eat dem updat tin can b very anoyingif u want a pussy eater better u clin it up very welldont com kill someone son n wen u try to tell dem they will pick offence,pcm,urgent_complaint
@user Allah shi taimka dayake abun ba'a makka bane aje ayi lafiya .😁😃,hau,praise
where the guy make we ask am how infection dey taste whether e salty or e dey taste lime,pcm,urgent_complaint
e be like say na the whole abuja dem carry light o kva transformer is down at the moment me thinks,pcm,urgent_complaint
@user Allah ya sanya Alkhairi 🙏 ya kuma tabbatar da dawamamme zaman lafiya a tsakaninsu.,hau,praise
Egbe Oloselu UPN tife tu mo Dokita Frederick Fasehun Lori o! Awon Alakoso egbe ni Wombia Adanikanje ni Dokita Fasehun http://t.co/y0PBxpJsUa,yor,general_feedback
nobody can fit your position in life all man has their role to play so be the best of you anobi bushasha is here who dey who dey on set of mediator the movie as dir by,pcm,general_feedback
"Baba Mimo Iwo Olorun Gbogbo Aye, Baba wa gbowa k'ale ma feran ara wa. Baba Mimo Ateriba si'iwo ju ite re, bo'ju wa ko saanu fun wa oo! Olorun! Olorun Agbayee!! Oluwa wa o, Eleda Gbogbo Eniyan!! 🎶🎧 by Beautiful Nubia #Music #Renaissance #Yoruba",yor,praise
jazz boys where una dey na this whole story is just upside down and inside out lol the worst part is that some of you are now thinking that palm jazz go work for una please refrain from supporting any adulterated suggestion that jazz go work for you by believing it,pcm,urgent_complaint
fariga agbenuso fun aare jonathan dokita reuben abati so wipe itara lo hun damu awon ti o hun un pe aare nijeria ebele ni omugo,yor,urgent_complaint
i literally feel sick to my tummy and i dont even feel like doing anything today but im on the street oof lagos hustlingif tomorrow i buy a housecar and any fool come out to say na runs she dey do na just know that god will punish you na dog go chop ur mouth,pcm,urgent_complaint
who u dey even talk to sefu have the worst skills in clout chasingu cant even get any celebrity attention againna igbo people u dey attackna blessing nkechi dey ginger u now abimadam go restin ur next life pray to be married to an igbou will never chase clout,pcm,urgent_complaint
"RT @user: Dailly affirmation Bí a bá ní sùúrù, ohun tí kò tó, ṣì ńbọ̀ wá ṣẹ́kù. / If we are patient, whatever is insufficient would…",yor,praise
2217452630-zenith bank (odogwu åkwų ñó óñų) https://t.co/W9vYSxw9xx,ibo,praise
@user Yayi kyau haka tinda ba Islam ☪️ medicine yace ba ❤️,hau,praise
@user Sana'a 10 maganin kwanan rana kowa ke talla yawo kayimai in bashison abin mutane ya bata🤣🤣🤣,hau,general_feedback
"Ó buwọ́ lu bilionu kan lè ọwọ merin dola láti kó ojú irin láti Ibadan lọ sí ìlú Èkó, bẹ́ẹ̀ ni wọn ń ṣíṣe witiwiti lórí ẹ pẹ̀lú òpópónà Lagos Abeokuta, Ọ̀yọ́ Ogbomoso, Ogbomoso Ilorin, naa n lọ lọ́wọ́, ṣíṣe ọna Osun àti Èkìtì láti japo mọ́ra wọn,""""""""",yor,general_feedback
the only bone straight i can afford now wahala for who no fit buy bone straight this december oo,pcm,general_feedback
@user I saw u too 😂😂Nawawoooo turanci mugun ciwo😷😷,hau,general_feedback
Oloye Bode Akindele lasiko aye rẹ jẹ ilumọọka oniṣowo ti o si tun jẹ Parakoyi ti ilu Ibadan. Sun re o 💓❤️🙏🙏 ibadanslayers #ibadan #yorubamovies #yorùbáculture #ibadanentrepreneurs #yoruba #oduduwa #oyo #religionyoruba https://t.co/MYxG4B8xnD,yor,praise
"@user """"""""""""""""""""""""""""""""Nigeria ba matsalar kudi ta ke ba, yadda za'a kashe"""""""""""""""""""""""""""""""" Da an gina mana garuruwa, an tanadar mana da lantarki, da tsarin lafiya, da tuni wani zancen ake ba wannan ba 😒",hau,general_feedback
allah yakawo karshen rashin zaman lafiya a nigeria dama duniya gabaki daya,hau,praise
zaa fara shanya patients a nigeria kenan,hau,urgent_complaint
@user Kenan zai bar jinya ya koma taka leda da'ike Barcelona na nistewa a la liga😆😆,hau,general_feedback
ọdị mma ọdogwu,ibo,praise
allah ya kara lafiya baba kai tatayi idan ka gaji ka bawa yusuf shima yai tatayi ‍‍️,hau,praise
"@user @user Nna gi muru gi!!! Akota akuko di onye oria mma, osi si wenyite ya isi. Ilua by ilu odogwu. Onulu mgbe m di ime asulu oha nri ji, asim ka m nyuo mara onye g'ekponwu. Chei chei....aro, aro",ibo,general_feedback
@user BBC Hausa sunkoma tallan maganin ma aurata 😂,hau,general_feedback
@user #Allah yabashi lafiya. Get we soon #Egyptianking @user 😍🙏,hau,general_feedback
#repost Buhari: ogịnị ne me onye nka?! Ọ na chi ọchị ka ewu ha tinye n'oku Oshiomole : Collect Corona V free of charge nna - @user https://t.co/aH3dTjwV6Z https://t.co/Jj8CQdw8iQ,ibo,general_feedback
@user Odogwu anyi n'kpe odoro easy Biko dede a chorom ke nuru egwu m @user #ZaOtherRoom,ibo,general_feedback
SEX IN YORUBA Ona orisi Marun LA le fi ji oko tabi aya wa ton sun. Ona ikerin leleyi. Awon baale imi man ji iyawo won pelu enu Larin itan won(obo) 😜 This is 4th way some men wake their wife without stress( oral sex) @user oloni #sex #sextalk #yoruba #facts #sextalk https://t.co/vp9SHxmrOM,yor,general_feedback
"@user @user Ujo ego a na gu na billion na billion na aria gi oria... nna eh, jee ka i gbuo ozu nke gi O... ji sie ke",ibo,general_feedback
"@user Muna rokon gwamtin Zimbabwe 🇿🇼 data daure ta biya ma'aikatan jinya domin su koma bakin aiki, dan Allah",hau,general_feedback
correct i don rest na to join the insane world remain now youre an agitator of feminism and i like the way you were calm and dishing out stuffs through out the whole discussion some other people for don call my late mum names i admire that weldone,pcm,praise
who your birth month help for this lockdown period abeg carry your birth month go one side first make we know wetin dey play for area,pcm,urgent_complaint
@user @user Wai gwamno nin Nigeria suna afa kwayoyi ko 😂,hau,urgent_complaint
RT @user: @user #IbadanCodeSprint oye ki aye wa fun awon onimo ede naa dara po month awon onimo ero lati mu ero rere yii ...,yor,general_feedback
@user Ga corona a ambaliya astagfirullah 👏,hau,praise
sakamanje you na boss na where dem bosses like dey who i be,pcm,praise
"@user Omo, ebuka is tall oooo. Igbo men are just full spec. Ndi Odogwu chukwu there mmanu",ibo,praise
èdè yorùbá dùn gbongbon kan sii ènìyàn àtàtà ni eya yorùbá jé wọn máa ń kó ènìyàn mọ́ra wọn sì nifẹ sí ibagbepo àlàláfíà ìwà ifomoniyanse ẹ̀yà yorùbá yìí kii wá ṣe a ń fọ́wọ́ yẹpẹrẹ mú,yor,praise
allah sw shi kadaine mai maganin shege dan gaton uwa,hau,urgent_complaint
